,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
8442,8442,Hyundai,Santa Fe,60000.0,2013,2,197.0,1,diesel,2.2,0,0,0,0,0,0,South Korea
8443,8443,Mazda,3,52700.0,2014,3,165.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8444,8444,Toyota,Corolla,18000.0,2009,2,124.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8445,8445,Audi,Q2,74900.0,2017,3,150.0,0,petrol,1.4,0,0,0,0,0,0,Germany
8446,8446,Mitsubishi,Outlander,68000.0,2015,2,150.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8447,8447,Hyundai,Tucson,25000.0,2008,3,175.0,1,petrol,2.7,0,0,0,0,0,0,South Korea
8448,8448,Hyundai,i25,47600.0,2017,3,124.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
8449,8449,Mazda,CX-5,57000.0,2014,2,155.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8450,8450,Seat,Leon,49999.0,2016,5,125.0,0,petrol,1.4,0,0,0,0,0,0,Spain
8451,8451,Audi,A4,176000.0,2021,1,150.0,0,petrol,2.0,0,0,0,0,0,0,Germany
8452,8452,Nissan,Sentra,62000.0,2020,1,124.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8453,8453,Skoda,Octavia,90450.0,2020,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Czech Republic
8454,8454,Skoda,Octavia,93207.0,2020,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Czech Republic
8455,8455,Skoda,Kodiaq,122900.0,2019,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Czech Republic
8456,8456,Toyota,Corolla Hybrid,108627.0,2020,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8457,8457,Mitsubishi,Outlander,108200.0,2020,2,150.0,0,petrol,2.0,0,0,1,0,1,1,Japan
8458,8458,Cadillac,XT5,164000.0,2019,1,310.0,0,petrol,3.6,0,0,0,0,0,0,United States
8459,8459,Renault,Megane Grand Coupe,81000.0,2021,1,116.0,0,diesel,1.5,0,0,0,0,0,0,France
8460,8460,Mitsubishi,ASX,106900.0,2022,2,150.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8461,8461,BMW,X3,115000.0,2017,2,184.0,1,petrol,2.0,0,0,0,0,0,0,Germany
8462,8462,Toyota,Camry,139000.0,2020,1,208.0,0,hybrid,2.5,0,0,0,0,0,0,Japan
8463,8463,Jeep,Grand Cherokee,360000.0,2022,1,295.0,1,petrol,3.6,0,0,0,0,0,0,United States
8464,8464,Chevrolet,Malibu,1500.0,2016,1,160.0,0,electric,1.5,0,0,0,0,0,0,United States
8465,8465,Toyota,Land Cruiser,281000.0,2018,1,177.0,1,diesel,2.8,0,0,0,0,0,0,Japan
8466,8466,BMW,3 Series,220000.0,2019,2,184.0,0,hybrid,2.0,0,0,0,0,0,0,Germany
8467,8467,Mazda,5,10000.0,2007,3,145.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8468,8468,Opel,Astra,12500.0,2011,3,115.0,0,petrol,1.6,0,0,0,0,0,0,Germany
8469,8469,Suzuki,SX4 crossover,40000.0,2017,2,118.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8470,8470,Suzuki,Swift,11500.0,2008,4,101.0,0,petrol,1.5,0,0,0,0,0,0,Japan
8471,8471,Citroen,Berlingo,5500.0,2008,3,75.0,0,diesel,1.6,0,0,0,0,0,0,France
8472,8472,Toyota,Corolla Hybrid,105000.0,2019,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8473,8473,Citroen,C4,77422.0,2020,1,130.0,0,petrol,1.2,0,0,0,0,0,0,France
8474,8474,BMW,3 Series,73999.0,2017,2,136.0,0,petrol,1.5,0,0,0,0,0,0,Germany
8475,8475,Hyundai,Ioniq,97978.0,2020,1,141.0,0,hybrid,1.6,0,0,0,0,0,0,South Korea
8476,8476,Kia,Sportage,7000.0,2021,1,136.0,0,diesel,1.6,0,0,0,0,0,0,South Korea
8477,8477,MG,EHS PHEV,122900.0,2021,2,258.0,0,hybrid,1.5,0,0,0,0,0,0,United Kingdom
8478,8478,Hyundai,Sonata Hybrid,123000.0,2021,1,192.0,0,hybrid,2.0,0,0,0,0,0,0,South Korea
8479,8479,Skoda,Kodiaq,130800.0,2019,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Czech Republic
8480,8480,Skoda,Karoq,106900.0,2021,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Czech Republic
8481,8481,Toyota,Corolla Hybrid,100000.0,2021,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8482,8482,Hyundai,i20,18000.0,2010,3,100.0,0,petrol,1.4,0,0,0,0,0,0,South Korea
8483,8483,Porsche,718 Cayman,415000.0,2018,3,350.0,0,petrol,2.5,0,0,0,0,0,0,Germany
8484,8484,Mitsubishi,Space Star,26000.0,2014,2,80.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8485,8485,Renault,Capture,28000.0,2014,4,120.0,0,petrol,1.2,0,0,0,0,0,0,France
8486,8486,Mazda,3,13500.0,2008,4,105.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8487,8487,Hyundai,i10,41000.0,2017,2,87.0,0,petrol,1.2,0,0,0,0,0,0,South Korea
8488,8488,Jeep,Jeep Wrangler,370000.0,2022,2,272.0,0,petrol,2.0,0,0,0,0,0,0,United States
8489,8489,Kia,Seltos,117000.0,2021,1,149.0,0,petrol,2.0,0,0,0,0,0,0,South Korea
8490,8490,Toyota,Hilux Vigo,63000.0,2008,5,171.0,1,diesel,3.0,0,0,0,0,0,0,Japan
8491,8491,Volvo,S80,38000.0,2008,3,285.0,1,petrol,3.0,0,0,0,0,0,0,Sweden
8492,8492,Mazda,CX-5,7000.0,2013,3,155.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8493,8493,Hyundai,i25,32500.0,2014,2,100.0,0,petrol,1.4,0,0,0,0,0,0,South Korea
8494,8494,Toyota,Corolla Hybrid,109000.0,2021,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8495,8495,Hyundai,i10,2840.0,2021,1,84.0,0,petrol,1.2,0,0,0,0,0,0,South Korea
8496,8496,Volvo,S60,163000.0,2020,1,390.0,0,petrol,2.0,0,0,0,0,0,0,Sweden
8497,8497,Fiat,Tipo,26000.0,2016,3,110.0,0,petrol,1.6,0,0,0,0,0,0,Italy
8498,8498,Mercedes-Benz,A-CLAss,279500.0,2024,1,160.0,0,hybrid,1.3,0,1,1,1,0,0,Germany
8499,8499,Renault,Grand Scenic,62000.0,2020,1,140.0,0,petrol,1.3,0,0,0,0,0,0,France
8500,8500,Nissan,X-Trail,128500.0,2021,1,160.0,0,petrol,1.3,0,0,0,0,0,0,Japan
8501,8501,Peugeot,3008,89387.0,2020,2,130.0,0,petrol,1.2,0,0,0,0,0,0,France
8502,8502,Mazda,3,82000.0,2020,4,165.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8503,8503,Mitsubishi,Space Star,29000.0,2015,3,80.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8504,8504,Volvo,S60,32000.0,2014,3,245.0,0,petrol,2.0,0,0,0,0,0,0,Sweden
8505,8505,Mazda,CX-5,56000.0,2012,2,155.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8506,8506,BMW,3 Series,310000.0,2023,1,184.0,0,petrol,2.0,0,0,0,0,0,0,Germany
8507,8507,Toyota,Corolla,22000.0,2009,3,124.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8508,8508,Fiat,500X,45000.0,2017,2,140.0,0,petrol,1.4,0,0,0,0,0,0,Italy
8509,8509,Nissan,Micra,25000.0,2016,2,80.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8510,8510,Kia,Picanto,48000.0,2017,2,84.0,0,petrol,1.2,0,0,0,0,0,0,South Korea
8511,8511,Hyundai,i20,40000.0,2013,3,100.0,0,petrol,1.4,0,0,0,0,0,0,South Korea
8512,8512,Mercedes-Benz,C-CLAss,50000.0,2015,3,170.0,0,diesel,2.2,0,0,0,0,0,0,Germany
8513,8513,Toyota,Prius,32000.0,2011,3,99.0,0,hybrid,1.8,0,0,0,0,0,0,Japan
8514,8514,Seat,Ibiza,72900.0,2018,2,115.0,0,petrol,1.0,0,0,0,0,0,0,Spain
8515,8515,Hyundai,i35,28000.0,2012,2,132.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
8516,8516,Mazda,6,1000.0,2009,1,147.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8517,8517,Citroen,Berlingo,75000.0,2020,2,100.0,0,diesel,1.5,0,0,0,0,0,0,France
8518,8518,Kia,Sportage,71000.0,2018,2,132.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
8519,8519,Dodge,Ram,80000.0,2018,1,370.0,1,diesel,6.7,0,0,0,0,0,0,United States
8520,8520,Hyundai,Tucson,81000.0,2016,2,155.0,0,petrol,2.0,0,0,0,0,0,0,South Korea
8521,8521,Hyundai,Tucson,93900.0,2018,2,155.0,0,petrol,2.0,0,0,0,0,0,0,South Korea
8522,8522,Skoda,Superb,104900.0,2019,3,150.0,0,petrol,1.4,0,0,0,0,0,0,Czech Republic
8523,8523,Mercedes-Benz,E-CLAss,235000.0,2020,1,194.0,0,hybrid,2.0,0,0,0,0,0,0,Germany
8524,8524,BMW,X2,139900.0,2020,1,140.0,0,petrol,1.5,0,0,0,0,0,0,Germany
8525,8525,Hyundai,Ioniq,105008.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,1,1,South Korea
8526,8526,Peugeot,2008,40000.0,2019,1,110.0,0,petrol,1.2,0,0,0,0,0,0,France
8527,8527,Audi,Q5,251500.0,2022,1,265.0,1,petrol,2.0,0,0,0,0,0,0,Germany
