,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,cruise_control
504,Toyota,LAND CRUISER,95000.0,2007,3,166.0,1,diesel,3.0,1,1,0,0,0
505,Mazda,2 DAMIO,63000.0,2019,2,116.0,0,petrol,1.5,0,1,1,1,0
506,Subaru,XV,40000.0,2017,3,150.0,1,petrol,2.0,0,1,1,1,0
507,Skoda,OCTAVIA,87000.0,2020,2,150.0,0,petrol,1.5,1,0,0,0,0
508,BMW,2 SERIES,125325.0,2018,1,184.0,0,petrol,2.0,0,0,1,1,0
509,Seat,ATKA,93000.0,2018,2,150.0,0,petrol,1.4,0,1,1,1,0
510,Nissan,TERRANO,22000.0,2001,5,125.0,1,diesel,2.7,1,1,0,0,0
511,Chevrolet,TRAVERSE,37000.0,2010,2,288.0,1,electric,3.6,1,1,0,0,0
512,BMW,5 SERIES,27000.0,2003,10,231.0,0,petrol,3.0,1,1,0,0,0
513,Renault,CLIO,27500.0,2015,2,120.0,0,petrol,1.2,1,0,0,0,0
514,Volkswagen,POLO GTI,83000.0,2015,2,192.0,0,petrol,1.8,1,1,0,1,0
515,Mitsubishi,ECLIPSE CROSS,85600.0,2019,2,163.0,0,petrol,1.5,0,1,1,0,1
516,Peugeot,5008,90000.0,2019,2,165.0,0,petrol,1.6,0,1,1,1,0
517,Land Rover,DISCOVERY SPORT,210000.0,2020,1,180.0,0,diesel,2.0,0,1,1,1,0
518,Skoda,SUPERB,63500.0,2016,2,180.0,0,petrol,1.8,0,1,1,1,0
519,Maserati,LEVANTE,218000.0,2017,1,350.0,1,electric,3.0,1,1,0,0,1
520,Dodge,RAM,66000.0,2016,3,370.0,1,diesel,6.7,1,0,0,0,0
521,Skoda,SUPERB,78000.0,2016,2,180.0,0,petrol,1.8,0,1,1,1,0
522,Hyundai,SONATA HYBRID,116000.0,2021,1,192.0,0,hybrid,2.0,0,1,0,0,1
523,Hyundai,IONIQ,96000.0,2020,1,141.0,0,hybrid,1.6,0,1,1,0,0
524,Kia,PICANTO,56500.0,2020,1,84.0,0,petrol,1.2,1,0,1,0,0
525,Nissan,QASHQAI,86900.0,2020,1,159.0,0,petrol,1.3,0,1,1,1,0
526,Kia,PICANTO,69900.0,2022,1,84.0,0,petrol,1.2,0,1,1,1,0
527,Seat,ARONA,87000.0,2021,1,110.0,0,petrol,1.0,0,1,1,0,1
